Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 07-Nov-2014 at 12:55:52.
BModes analysis to support NuMAD to FAST Blade using PreComp                                       
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first   6 modes printed


 -------- Mode No.   1  (freq = 0.93757E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.4800	-0.019011	-0.064926	-0.000694	-0.002770	 0.084616
 0.5600	-0.023111	-0.037430	-0.000859	-0.001350	 0.109602
 0.6400	-0.023674	 0.024108	-0.000851	 0.001510	 0.126977
 0.7200	-0.017782	 0.124003	-0.000574	 0.005340	 0.130649
 0.8000	-0.001443	 0.282800	 0.000047	 0.009952	 0.117512
 0.9000	 0.038779	 0.500384	 0.001258	 0.013731	 0.079584
 1.0000	 0.100824	 0.683073	 0.002661	 0.014494	 0.037530


 -------- Mode No.   4  (freq = 0.34927E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0800	 0.000032	 0.000786	-0.000910	-0.022155	 0.000115
 0.1600	 0.000125	 0.001515	-0.004101	-0.057019	 0.000827
 0.2400	 0.000267	 0.002014	-0.009952	-0.089043	 0.004653
 0.3200	 0.000402	 0.001448	-0.017518	-0.101025	 0.009271
 0.4000	 0.000491	 0.000950	-0.025181	-0.091859	 0.014320
 0.4800	 0.000579	 0.001340	-0.031040	-0.055175	 0.019192
 0.5600	 0.000723	 0.002192	-0.032702	 0.014124	 0.023021
 0.6400	 0.000908	 0.002087	-0.027443	 0.119023	 0.025614
 0.7200	 0.000947	-0.001679	-0.012605	 0.254412	 0.027551
 0.8000	 0.000396	-0.012702	 0.013807	 0.408226	 0.030754
 0.9000	-0.002115	-0.035951	 0.061914	 0.548634	 0.037279
 1.0000	-0.007512	-0.062396	 0.120321	 0.615540	 0.044748


 -------- Mode No.   5  (freq = 0.50772E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0800	-0.000315	-0.007611	 0.000001	 0.000027	 0.000945
 0.1600	-0.001422	-0.019607	-0.000004	-0.000147	 0.006801
 0.2400	-0.003363	-0.028516	-0.000024	-0.000376	 0.038898
 0.3200	-0.005676	-0.028924	-0.000065	-0.000597	 0.078142
 0.4000	-0.007501	-0.016170	-0.000100	-0.000239	 0.120421
 0.4800	-0.007519	 0.016194	-0.000070	 0.000972	 0.157566
 0.5600	-0.004395	 0.061360	 0.000066	 0.002292	 0.178634
 0.6400	 0.002232	 0.101421	 0.000270	 0.002593	 0.180076
 0.7200	 0.010507	 0.100142	 0.000406	 0.000615	 0.171477
 0.8000	 0.014867	 0.003072	 0.000261	-0.004192	 0.170285
 0.9000	 0.000898	-0.263100	-0.000512	-0.010249	 0.210679
 1.0000	-0.047661	-0.584270	-0.001662	-0.012127	 0.290202


 -------- Mode No.   6  (freq = 0.71783E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0800	-0.000015	-0.000363	 0.000004	 0.000087	-0.000396
 0.1600	-0.000070	-0.001002	 0.000014	 0.000169	-0.002882
 0.2400	-0.000176	-0.001650	 0.000028	 0.000150	-0.017288
 0.3200	-0.000326	-0.002134	 0.000034	-0.000006	-0.037117
 0.4000	-0.000502	-0.002292	 0.000024	-0.000238	-0.064454
 0.4800	-0.000664	-0.001737	-0.000005	-0.000487	-0.101624
 0.5600	-0.000742	-0.000220	-0.000049	-0.000617	-0.146540
 0.6400	-0.000664	 0.002094	-0.000094	-0.000486	-0.198202
 0.7200	-0.000404	 0.004177	-0.000114	 0.000013	-0.250531
 0.8000	-0.000066	 0.003708	-0.000077	 0.000886	-0.311874
 0.9000	-0.000142	-0.005377	 0.000067	 0.001910	-0.371364
 1.0000	-0.001787	-0.021373	 0.000299	 0.002554	-0.397600
=================================================================================
